time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry buycom.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry c6.edgesuite.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cantire.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cba.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cdn.installationsafe.net.s3.amazonaws.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ciaocom.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ciaoshopcouk.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ciaoshopit.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry citi.bridgetrack.com.edgesuite.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry clubmom.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnetjapan.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhiautovertical.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhibatesvilleheraldtribune.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhibdtonline.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhicrossvillechronicle.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhidailyindependent.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhieagletribune.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhijohnstown.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhijoplinglobe.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhinewscourier.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhinewsservicedev.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnhirecordeagle.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnnglobal.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cnnireport.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry couponchief.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry createthegroup.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry csma95349.analytics.edgesuite.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry cyberdefender.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry d12tr1cdjbyzav.cloudfront.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
